to adabdon to	từ bỏ;bỏ;ruồng bỏ;bỏ lại
there was hell to pay	bị trường phạt nghiệm khắc;bị nghiêm trị;bị trừng trị thích đáng
help a lame dog over stile	giúp đỡ trong lúc khó khăn hoạn nạn;cưu mang
help along	giúp đỡ cho tốt đẹp
help forward	giúp đỡ cho tốt đẹp
could not help it	không thể nào dừng được;không làm thế nào khác được
help off with	giúp cởi;giúp tháo
help on with	giúp mặc
help oneself to	tự tiện dùng;tự ý dùng;hãy dùng;phục vụ
help yourself!	mời dùng đồ
help yourself to	mời
help to some	phục vụ
help out	giúp vượt qua;giúp đương đầu
so help me	xin thề
help across a stream	giúp đi qua suối
hel in his necessities	giúp đỡ trong lúc khó khăn
help with	sử dụng;phục vụ;giúp đỡ
helping hand	sự giúp đỡ;giúp đỡ
second helping	phần thức ăn đưa mời lần thứ hai;phần thức ăn lấy lần thứ hai
hem in	bao vây;bao bọc;bao quanh
hem about	bao vây;bao bọc;bao quanh
hem around	bao vây;bao bọc;bao quanh
hem round	bao vây;bao bọc;bao quanh
felt hemmed in by	bị hán chế bởi
hureulean task	nhiệm vụ hết sức nặng nề
herd together	tập trung lại;dồn vào một nơi
here and there	đây đó;khắp nơi
here below	trên thế gian
here goes!	nào bắt đầu nhé;xem này
here, there and everywhere	ở khắp mọi nới;khắp mọi nơi
neither here nor there	không quan trọng;không đúng vấn đề;không thích đáng
here you are	đây này
here's to you	xin chúc sức khỏe
here's how	xin chúc sức khỏe
hereabout	quanh đây;gần đây
hereafter	say đây;trong tương lai;kiếp sau;tương lai;đời sau
hereat	đến đây thì
hereby	bằng cách này;do đó;nhờ thế
herein	ở đây;ở điểm này;trong tài liệu này
hereinbefore	ở bên trên
hereof	về cái này
here on	ngay sau đây 
here upon	ngay sau đây 
hereto	theo đây;vấn đề này
heretofore	cho đến nay;trước đây
hereunder	dưới đây
herewith	kèm theo đây
hide a multitude of sins	che dấu một sự thật;che đây sự thật
cover a multitude of sins	che dấu một sự thật;che đây sự thật
hide away	trốn;trốn tránh;ẩn náu;giấu giếm;che đậy
hide behind	núp sau;ẩn náu sau;ẩn danh dưới;che đậy thân phận dưới;dưới vỏ bọc
hide from	che giấu;che đậy;giữ kín;che khuất
hidden from	bị che đậy;bị che khuất;bị giấu kín
hide one's head	giấu mặt đi vì xấu hổ;không dám ló mặt ra
hide one's face	giấu mặt đi vì xấu hổ;không dám ló mặt ra
hide one's light under a bushel	giấu tài;giấu khả năng;giáu đức tính tốt;khiêm tốn
hide one's candle under a bushel	giấu tài;giấu khả năng;giáu đức tính tốt;khiêm tốn
hide out	ẩn náu;trốn tránh;lẩn trốn
hide-bound	hẹp hòi;nhỏ nhen;cố chấp;thủ cựu;gầy dơ xương;ích kỷ
neither hide nor hair	không có bất cứ một dấu vết gì
a hide-out	nơi ẩn náu;nới lẩn trốn;nơi trốn tránh;nơi ẩn nấp
a hide-away	nơi ẩn náu;nới lẩn trốn;nơi trốn tránh;nơi ẩn nấp
hide-and-seek	trò chơi trốn tìm;trò ú tim
high court	toàn án tối cao
high crime	trọng tội;tội nguy hiểm;tội hình sự
high-day	ngày lễ;ngày hội;ngày vui
high-hearted	can đảm;gan dạ
high living	đời sống sung túc;cuộc sống xa hoa
high look	vẻ kiêu kỳ
high meat	thịt hơi ôi
high minded	có tâm hồn cao thượng
high mountain	núi cao
high road	đường cái;đường lớn;đường chính
high speed	tốc độ nhanh;tốc độ cao
high spirits	tinh thần dũng cảm
high throughts	tư tưởng cao cả 
high voice	giọng cao
highway	đường quốc lộ;đường cao tốc
high wind	gió mạnh
highwords	lời nói nặng nề;nặng lời
high-binder	kẻ đầu cơ chính trị;kẻ côn đồ;đầu gấu;du côn
high-brow	trí thức;trí thức sách vở;nhà trí thức
high and dry	bị mắc cạn;xa rời thực tế;không biết gì đến xung quanh;bị bỏ rơi
on one's high horse	kiêu ngạo;kiêu căng;khinh thường người khác;xem thường người khác
high-handed	kiêu căng;hống hách;độc đoán;chuyên chế
with a high hand	hống hách;ngạo mạn
high-hat	trịch thượng;học làm sang;học đòi;người trịch thượng;đối xử trịch thượng
high and mighty	hách dịch;kiêu ngạo
high-muck-a-muck	người quyền cao chức trọng;người lên mặt ta đây quan to
in high places	trong số người có quyền thế
high-sign	ám hiệu;hiệu lệnh
smell to high heaven	nặng mùi;không thành thật;bất lương;hư hỏng
stink to high heaven	nặng mùi;không thành thật;bất lương;hư hỏng
high time	đến tời điểm;đến lúc
on high	ở trên cào;ở trên trời
a higher-up	người quyền cao chức trọng;quan to
stand high in one's favour	được coi trọng
fly high	có tham vọng
high and low	khắp mọi nơi;mọi tầng lớp trong xã hội
hold one's head high	ngẩng cao đầu;hãnh diện về thành tích;hãnh diện về khả năng
play high	đánh quân bài cao
ride high	thành công
run high	nước cao;nước triều dâng cao;sôi nổi;hăng hái
a hill of beans	vật không có giá trị nhiều;chẳng đáng giá là bao
go down hill	xuống dốc;xa sút;suy nhược
as old as the hills	rất cũ;cũ xưa;cũ kỹ
over the hills	đã quá lứa;đã quá tuổi;trở về già
over hill and dale	lên dốc xuống đèo
up hill and down dale	khắp mọi nơi
hinge on	xoay quanh;tùy thuộc vào
hinge together	nối vào nhau;ghép vào nhau
hire out	cho thuê
have the hire of	thuê mướn
for hire	cho thuê
on hire	cho thuê
hiss at	huýt gió;kêu xì xì về;huýt sáo chê
hiss off	huýt sáo phản đối;buộc phải rời khỏi
hit agianst	va phải;vấp phải;va trúng
hit on	va phải;vấp phải;va trúng
hit at	nhắm đánh vào;đánh vào
hit back at	phản công diwx dội;phản kháng kịch liệt
hit below the belt	đánh bụng dưới;đánh sai luật;chơi gian lận;chơi bẩn;chơi xấu
hit for six	giáng một đòn dữ dội;làm ảnh hưởng sâu sắc;tác động mạnh tới
hit home	đi thẳng tới đích;bắn trúng đích;đánh vào điểm yếu;đánh trúng huyệt
hit it off with	đồng ý với;ăn ý với;tâm đầu ý hợp với;hòa thuận với
hit it off together	tâm đầu ý hợp;ăn ý với nhau
hit off	nhại đúng như hệt;lắp lại đúng như in;mô tả đúng;mô tả chính xác
hit on	tìm ra;khám phá ra;chợt đạt được;chợt thấy
hit upon	tìm ra;khám phá ra;chợt đạt được;chợt thấy
hit one's stride	ổn định trong công việc của mình;đi vào nề nếp
hit out	đánh đấm túi bụi;tấn công dồn dập;tấn công tới tấp
hit out at	tấn công dữ dội;công kích trên báo chí
hit the bottle	thường xuyên uống quá nhiều rượu
hit the ceilling	bất thần trở nên tức giận
hit the roof	bất thần trở nên tức giận
hit the deck	hạ cánh;đổ xuống đất;rơi xuống đất;ra khỏi giường
hit the drink	hạ cánh xuống nước;rơi xuống biện
hit the field	hạ cánh;tấp đất
hit the ground	hạ cánh;tấp đất
hit the hay	đi ngủ
hit the jackpot	thành công lớn;kiếm được món lời lớn;phất to
hit the mark	bán trúng đích;đạt mục đích
hit the nail on the head	đoán trúng;nói đúng
hit the right on the head	đoán trúng;nói đúng
hut the pipe	hút thuốc phiện
hit the road	bắt đầu một chuyến đi;lên đường;rời bến;đi chơi;đi du lịch
hit the trail	bắt đầu một chuyến đi;lên đường;rời bến;đi chơi;đi du lịch
hit the sack	đi ngủ
hit the silk	nhảy dù;ra khỏi máy bay
hit the skids	đổ đốn
hit the spot	làm thỏa mãn;làm vừa lòng;đáp ứng được yêu cầu
hut town	tới thành phố
hit the trail	???
hit the pike	???
hit the breeze	???
hit with	đóng bằng
hit by	đóng bằng
hit or miss	không có mục đích;không có phương hướng rõ ràng;không có kế hoạch rõ ràng
hit-and-run	chớp nhoáng;chẹt xe rồi bỏ chạy;tông xe rồi bỏ chạy
hitch up	giật lên;kéo mạnh lên
hitch together	ăn cánh;ăn ý với nhau
get hitched	lập gia đình
hold a brief for	biện hộ cho;bênh cho;cãi hộ;chứng thực xác nhận;tán thành
hold a candle to	sánh được với;không thua kém;tòng phạm;giúp sức
hold a good hand	chơi bài;có tay chơi bài;có số đỏ
hold all the trumps	nắm tất cả yếu tố thắng lợi trong tay;làm chủ tình hình
hold aloof	đứng tách rời;lánh xa;xa lánh;bằng quan
stand aloof	đứng tách rời;lánh xa;xa lánh;bằng quan
hold back	ngăn lại;giữ lại;nắm lại;kìm lại;giấu kín bí mất;giữ kín bí mật;do dự;ngập ngừng 
hold back from	cản trở sự tiến bộ;cản trở sự phát triển;ngăn cản;cố nến lại
hold by	nắm lấy bằng;giữ bằng;giữ vững;nắm chắc
hold down	bắt lệ thuộc;bắt phục tùng;áp bức;cúi đầu;không cho dậy;không cho dậy;không cho vùng dậy;đè chặt
hold down	đàn áp;cai trị;được giữ vững
hold forth	đưa ra;đặt ra;nêu ra;nói chuyện dài dòng;hò hét;duyễn thuyết
hold forth to the crowd	duyễn thước trước đám đông
hold good	có hiệu lực;có hiệu quả;có giá trị
hold in	nắm chắc;giữ chắc;giam giữ;nén lại;kìm lại;dằn lại
hold in check	kiểm tra;ngăn chặn;hạn chế
hold it	hãy đợi;đừng di chuyển;đứng im
hodl off	chống lại;đẩy lùi;ngăn trở;cản trở;chậm lại;nán lại;không xảy ra;không diễn ra
hold on	nắm chặt;giữ chặt;bám chặt;tiếp tục;giữ cuộc gọi;giữ máy
hold one's horses	kiên nhẫn;nhẫn nại;kìm chế
hod one's own	giữ vững vị trí;giữ vững lập trường;chẳng kém ai;có thể đối địch được với;chẳng kém cạnh;chẳng thua ai;chẳng thua kém
hold out	đưa ra;giữ ra
hold out on	giấu;giữ kín;không cho biết
hold over	đình lại;hoãn lại;kéo dài thêm;duy trì thêm
hold in contempt	coi kinh;khinh thường
hold in high esteem	kính mến;quý trọng
hold in suspense	làm cho thấp thỏm chờ đợi
hold one's nose to the grindstone	bắt làm việc quần quật
hold to	sẽ thực hiện
hold over	luôn luôn giơ ra đe dọa
hold still	giữ yên;đứng yên;không cử động
hold the bag	gánh trách nhiệm;làm cho chịu trách nhiệm về
hold the balance	nắm quyền hành cai quản
hold the field	giữ vững trận địa
hold the reins	nắm dây cương;điều khiển;dắt mũi;sai bảo
take the reins	nắm dây cương;điều khiển;dắt mũi;sai bảo
hold the the scalces even	cầm cân này mực;công bằng;chính trực;chí công vô tư
hold the the scalces true	cầm cân này mực;công bằng;chính trực;chí công vô tư
hold the whip-hand over	kiềm chế;kiểm soát
have the whip-hand over	kiềm chế;kiểm soát
hold tight	nắm chặt;giữ chặt
hold to	duy trì;giữ vững;giữ chắc
hold by	duy trì;giữ vững;giữ chắc
hold together	gắn lại với nhau;giữ lại với nhau;đoàn kết với nhau
hold true	đúng;có giá trị
hold up	đưa lên;giơ lên;đỡ;chống đỡ;vẫn vững;duy trì;nêu ra;đưa ra;phô ra;chặn đường ăn cướp;ngừng lại;đình trệ;đảo lộn cỏ khô
hold water	đứng vững được;có giá trị;kín mích;không thủng
hold with	đồng ý với;nhất trí với;tán thành với
hold your noise!	im đi!;đừng ầm ĩ nữa!
keep a firm hold of	nắm chặt;giữ chặt
hold on	ảnh hưởng đối với;sự kiểm soát
tighten its hold on	xiết chặt việc kiểm soát
catch hold of	nắm chặt
get hold of	nắm chặt
grab hold of	nắm chặt
seize hold of	nắm chặt
take hold of	nắm chặt
get hold of	tìm thấy;kiếm được;tìm kiếm
hole up	trốn tránh;ẩn náu
a hole in one's coat	viết nhơ đối với thanh danh bản thân
in a devil of a hole	ở trong tình thế lúng túng;ở trong tình trạng khó khăn
have an ace in the hole	giữ kín để lúc cần thiết dùng;dành quân át chủ bài
a hole in the wall	một cửa hàng hoặc quán cà phê tồi tàn ở trong hẻm
make a hole in	gây ra một lỗ hổng;gây ra hao hụt nhiều;lấy ra một phần lớn 
money burns a hole in one's pocket	thích tiêu hoang;chi tiêu một cách xa phí;chi tiêu hoang phí;ngông cuồng;đốt cháy túi
pick holes in	tìm khuyết điểm;bới lông tìm vết
put in a hole	đẩy vào tình thế khó xử
a round peg in a square holes	nồi trong vung méo;đặt người không đúng chỗ;bố trí người không thích hợp với công việc
a square peg in a round hope	nồi trong vung méo;đặt người không đúng chỗ;bố trí người không thích hợp với công việc
hollow out	làm lõn;làm sói mòn
beat hollow	đánh bại tơi bời;thua tơi bời;bị thua tơi bời
have hollow legs	rất ngon miệng
hollow promise	lời hứa xuống;lời hứa giả dối
hollow words	những lời rỗng tuếch
a holy terror	đứa trẻ hư đốn;đứa trẻ nghịc ngợm;người đáng sợ
holy of holies	nơi linh thiêng
at home	ở nhà;cứ tự nhiên;đừng khách sáo
feel quite at home	cảm thấy rất thoải mái như ở nhà;cảm thấy như ở nhà mình
at home in	thành thạo;quen thuộc;biết rõ
feel at home with	thân tình với;chân tình
a home bird	người chỉ thích sống ở gia đình
bring home to	làm thấy rõ
plight of	thảm cảnh
charity begins at home	trước khi thương người hãy thương người nhà mình trước
close to home	sát gần điểm;gần như;hầu như
near to home	sát gần điểm;gần như;hầu như
eat out of house and home	đòi khi đùa;ăn sạt nghiệp
a home from home	nơi mình cảm thấy ấm cúng;nơi cảm thấy thoải mái như ở nhà
home is home, be it ever so homely	ta về ta tắm ao ta, dù trong dù đục ao nhà vẫn ơn
one's last home	nơi an nghỉ cuối cùng
one's long home	nơi an nghỉ cuối cùng
a lying-in home	nhà hộ sinh;nhà hộ lý
make yourself at home	xin cứ tự nhiên như ở nhà
see home	đưa về nhà
be homesick	nhớ nhà;nhớ quê
one's spiritual home	nơi mà người thấy hoặc cảm thấy có thể sống hạnh phúc nhất;đất nước mà người ta gắn bó sâu sắc hơn là quê hương của mình
strike home	đánh trúng đích;đánh trung chỗ yếu;chạm đúng tim đen
there's no place like home	không đâu bằng nhà mình
a hme truth	sự thật không tốt đẹp mà người ta nói
honest about it	thẳng thắn mà nói;thực tình mà nói;thật ra mà nói
quite honest about it	thẳng thắn mà nói;thực tình mà nói;thật ra mà nói
quite honest with you	thẳng thắn mà nói;thực tình mà nói;thật ra mà nói
earn an honest penny	làm ăn lương thiện;làm ăn chân chính;buôn bán chính đáng
turn an honest penny	làm ăn lương thiện;làm ăn chân chính;buôn bán chính đáng
honest to God	đúng sự thật;thực tình;thực sự
honest to goodness	đúng sự thật;thực tình;thực sự
make an honest woman of	cưới xin tử tế
honeyed words	những lời đường mật
honey-moon	tuần trăng mật;giai đoạn hương phấn bàn đầu của công việc kinh doanh;một quan hệ
honey tongue, a heart of gall	miệng mật lòng dao;khẩu phật tâm xà;miệng na mô, bụng một bồ dao găm
honour with	vinh dự
feel highly honoured by	hết sức vinh dự được
will you honour us with	chúng tôi vô cùng vinh dự nếu được
an honour to	có uy tín trong;làm rạng danh cho
honour bound to	có nghĩa vị phải làm
honour changes manners	giàu đổi bạn, sang đổi vợ
a debt of honour	món nợ trả vì nghĩa vị tinh thần
honours are even	cuộc thi đấu ngang nhau;cuộc thi đấu ngang bằng ngang sức
an honour	là một vinh dự lớn cho
the honour of	là một vinh dự lớn cho
have the honour of	có vinh dự;có quyền;có đặc quyền
in honour of	tỏ lòng tôn kính đối với;tỏ lòng biết ơn đối với
on one's honour to	vì nghĩ vụ phải
on my honour	tôi xin thề;tối lấy dự bảo đảm
upon my honour	tôi xin thề;tối lấy dự bảo đảm
put on his honour	bắt phải hứa hẹn một cách nghiêm chỉnh sẽ phải làm
one's word of honour	một lời hứa nghiêm chỉnh;một lời hứa danh dự
hook it	chuồn;cuốn gói
hook on	say mê;si mê;nghiện ngập
hook into	móc vào;treo vào
hook over	móc vào;treo vào
hook round	móc vào;treo vào
get hooked on	trở nên nghiện ngập;nghiện ngập
hook up	gài bằng móc;móc lại
hook up with	nối các phương tiện phát thanh truyền hình để phục vụ cho những buổi phát đặc biệt
by hook or by crook	bằng đủng mọi cách;bằng mọi giá;bằng trăm phương ngàn kế
hook, line and sinker	tất cả;cả chì lẫn chài;hoàn toàn;toàn bộ
off the hook	đặt ống nghe ra ngoài
let off the hook	giúp vượt qua khó khăn
sling one's hook	ra đi
hook-up	đài phát thanh
hope against hope	hy vọng hão
hope for	hi vọng;trong mong
beyond hope	thôi hy vọng;hết hy vọng
past hope	thôi hy vọng;hết hy vọng
build up one's hope	khuyến khích;động viên
raise up one's hope	khuyến khích;động viên
dash one's hope	làm hết hy vọng;dập tắt hy vọng
shatter one's hope	làm hết hy vọng;dập tắt hy vọng
forlorn hope	kế hoạch khó thành công;công việc kinh doanh khó thành công
give up all hope	từ bỏ mọi hy vọng
resign all hope	từ bỏ mọi hy vọng
have a hope of	có hy vọng làm;thành công trong
hold out a hope of	đưa ra lý do để hy vọng;mong mỏi
hold out some hope of	đưa ra lý do để hy vọng;mong mỏi
hold out not much hope of	đưa ra lý do không hy vọng
hold out no hope of	đưa ra lý do không hy vọng
hold out little hope of	đưa ra lý hy vọng mong manh
in the hope of	với hi vọng
in vain hope	hi vọng hão huyền;uổng công mong đợi
not to have a hope in hell	không một chút hi vọng nào cả
while there is life there is hope	còn sống còn hy vọng;còn nước còn tát
hopeful of	đầy vọng;đầy hứa hẹn;có triển vọng
hopeful about	đầy vọng;đầy hứa hẹn;có triển vọng
of narrow horizon	có sự hiết biết nông cạn;tầm hiểu biết hạn hẹp;hiểu biết nông cạn
on the horizon	sắp xảy ra đến nơi
horn in	vào bừa;không mời mà đến;dính vào;can thiệp vào
draw in one's horns	trở nên cẩn thận;thận trọng hơn
on the horns of a dilemma	đứng trước giữa hai lựa chọn;tiến thoái lưỡng nan
take the bull by the horns	không sợ khó khăn;không sợ nguy hiểm
horse about with	đùa nhả với;đùa cợt với
horse around with	đùa nhả với;đùa cợt với
get on one's high horse	kiêu căng;ngạo mạn;làm bộ làm tịch;lên mặt ta đây
back the wrong horse	đánh cá con ngựa thua;ủng hộ phe thua
on horse-back	cưỡi ngựa;đi ngựa
ride horseback	cưỡi ngựa
change horses in midstream	thay ngựa giữa dòng
swap horses in midstream	thay ngựa giữa dòng
a horse of another colour	một vấn hề hoàn toàn khác;một sự việc hoàn toàn khác
a horse of a different colour	một vấn hề hoàn toàn khác;một sự việc hoàn toàn khác
drive a coach and horses through	bất chấp luật pháp một cách công nhiên mà không bị trừng phạt
eat work like a horse	ăn khỏe;làm khỏe như trâu;ăn khỏe như trâu
flog a dead horse	uổng công vô ích
from the horse's mouth	theo nguồn tin đáng tin cậy
hold one's horses	kìm sự nóng nảy
horse-laugh	tiếng cười hô hố
lock the stable door after the horse has bolted	mất bò mới lo làm chuồng
look a gift horse in the mouth	từ chối hoặc chỉ trích cái gì mà người ta cho mình
mount a high horse	?
ride a high horse	?
horseplay	sự vui đùa ầm ĩ;sự vui đùa quá trớn;sự đùa cợt
put the cart before the horse	đặt cái cày trước con trâu;việc làm trái khoáy;ngược đời
hospitable to	mến khách
hospitable towards	mến khách
a host in oneself	một mình địch nhiều người;một mình bằng nhiều người
hostile to	thù địch với;không thân thiện với;hằn học với
hot-blooded	đầy nhiệt huyết;rất nhiệt thành
hot debate	tranh luận sôi nổi
hot favourite	vận động viên được mọi người hy vọng;vận động viên được kỳ vọng
hothead	người bộp chộp;người bốc đồng
hot-headed	bộp chộp;hay bốc đồng
hot house	nhà kính;phòng sấy
hot music	nhạc mạnh
hot-spirited	hăng hái;sôi nổi
hot spot	nơi nóng bỏng;nơi khó khăn nguy hiểm
hot tempter	nóng tính;nóng nảy
hot up	tăng lên;tăng cường;trở nên sôi động hơn
hot air	lời nói khoác lác;câu chuyện rỗng tuếch
hot at in	tài giỏi;có năng khiếu
hot at on	tài giỏi;có năng khiếu
hot off the press	vừa xuất hiện trên báo chí;vừa được đăng báo
hot on	ngưỡng mộ
hot on one's heels	theo sát gót
hot on one's tracks	theo dõi gắt gao;truy lùng gắt gao;lùng sục gắt gao
hot on one's trail	theo dõi gắt gao;truy lùng gắt gao;lùng sục gắt gao
in hot water	lâm vào hoàn cảnh khó khăn
get into hot water	lâm vào hoàn cảnh khó khăn
blow hot and cold	hay dao động;hay thay đổi ý kiến
hot and bothered	ưu phiền;lo lắng vì sợ hãi;sự thúc ép công việc;áp lực công việc
go like hot cakes	bán đắt như tôm tươi;bán chạy
sell like hot cakes	bán đắt như tôm tươi;bán chạy
hot foot it	đi gấp;đi vội vàng;vôi vã
a hot potato	vấn đề khó giaie quyết;tình hình khó giải quyết
hot seat	ghế điện tra tấn;vị trí trọng yếu;vị trí áp lực
hot stuff	hàng đầu;đứng đầu
strike while the iron is hot	không bỏ lỡ cô hội
hot and strong	sôi nổi kịch liệt
too hot for	quá khó đối với;không thể đương đầu được
hound down	tìm thấy;tri tìm thấy;tìm ra;tìm được
hound on	thúc giục
hound out of	buộc phải từ bỏ;buộc phải rời bỏ
follow the hounds	lấy cho săn chó
ride the hounds	lấy cho săn chó
run with the hare and hunt with the hounds	bắt cá hai tay
after hours	sau khoảng thời gian làm việc bình thường hàng ngày
at all hours	vào bất cứ giờ nào;rất muộn
stay out till all hours	đi chơi về muộn
till all hours	vào bất cứ giờ nào;rất muộn
at the elevent hour	đến gần chót;đến phút chót;đến phút cuối
in a good hour	vào lúc may mắn
in an evil hour	vào lúc rủi ro;vào lúc vận đen
early hours	rất sớm;sáng sớm;sáng tinh mơ;sáng tinh sương
keep late hours	thức khuya;dậy muộn
keep bad hours	thức khuya;dậy muộn
keep regular hours	đi ngủ đúng giờ;thức dậy đúng giờ
out of hours	trước giờ làm việc;sau giờ làm việc
the question of the hour	vấn đề nóng bỏng;vấn đề được dư luận quan tâm;vấn đề thời sự
the small hours	thời gian ngay sau nửa đêm
one's waking hours	thời gian sau khi tỉnh
till all hours	cho đến tận lúc gà gáy sáng
house-breaking	sự lẻn vào nhà ban ngày;sự dỡ nhà
house-breaker	kẻ trộm đột nhập vào nhà
bring the house down	làm cho cả rạp vỗ tay nhiệt liệt
house-broken	được tập luyện;được huyến luyện;được thuần hóa
get on like a house on fire	nhanh chóng trở nên thân nhau;có quan hệ hồ hởi;có quan hệ thân tình
house of ill fame	nhà chứa;nhà thổ;động mại dâm
on the house	do chủ quan đãi;do chủ quán bao
house-trained	được tập luyện;được huấn luyện
house top	mái nhà
how about?	nên;dùng tý;có muốn
how about going for	nên
and how!	còn thế nào nữa!;chứ sao!;còn hơn thế nữa!;nhiều nữa chứ!
how comes it?	sao?;làm sao?;cụ thể thế nào?
how it is?	sao?;làm sao?;cụ thể thế nào?
how goes it?	tình hình ra sao;tình hình thế nào
how is that?	cái đó nghĩa là thế nào?;sao thế?;có phải?
how is that for puntuality?	có phải đúng giờ không?
how is it that?	làm sao mà?;làm thế nào mà?
how much	cái đếch gì;cái quái gì;cái đéo gì;bao nhiêu;hết bao nhiêu
how now?	sao thế?;là thế nào?
how on earth	cái quái quỷ thế nào mà;làm thế nào mà
how so?	sao lại như thế được?
howl down	la ó làm át cả tiếng
howl in agony	rú lên vì đau đớn
howl with laughter	cười rú lên
hue and cry	tiếng kêu la ầm ĩ;tiếng kê la phản đối;tiếng la hét phản đối
eat humble pie	rất hối hận
out of humour	bực bội;có tâm trạng không vui
hunger for	khao khát;thèm muốn;ước ao
hunger after	khao khát;thèm muốn;ước ao
hunger brings the wolf to the fold	đói đầu gối phải bò
hunger for	khao khát
hunger march	cuộc đi bộ dài của những người thất nghiệp để phản đối xự tàn tệ của ai
hunger strike	sự tuyệt thực
hungry air	vử mặt gợi cho người ta thấy đói;vẻ gợi thèm
as hungry as a hunter	đói như cào
hungry bellies have no ears	bụng đói tai điếc
go hungry	không có ăn;đói bụng;chịu đói
hunt down	dồn vào đường cùng;lùng bắt;lùng sục;truy lùng;truy nã
hunt for	tìm kiếm;săn lùng
hunt about	tìm kiếm;săn lùng
hunt after	tìm kiếm;săn lùng
hunt in couples	không lúc nào rời nhau;lúc nào cũng cặp kè bên nhau;kè kè bên nhau
run in couples	không lúc nào rời nhau;lúc nào cũng cặp kè bên nhau
go in couples	không lúc nào rời nhau;lúc nào cũng cặp kè bên nhau
hunt out	lùng đuổi;đuổi ra;tim ra;săn lùng ra
hunt up	lùng sục;tìm kiếm
run with the hare and hunt with the hounds	???
hurry away	đi vội vàng;hấp tấp ra đi;vội vàng ra đi
hurry off	đi vội vàng;hấp tấp ra đi;vội vàng ra đi
hurry on with	làm gấp;xúc tiến nhanh
hurry over	làm vội vàng;làm cho xong
hurry through	làm vội vàng;làm cho xong
hurry out of	kéo ra khỏi;lôi ra khỏi
hurry up	làm gấp;làm khẩn trương;tiến hành gấp rút
in a hurry	vội vàng;hăm hở;mong muốn;mong mỏi
hush a baby to sleep	ru ngủ
husbaby	tiếng ru con
hush up	bưng bít;ỉm đi;nín lặng;làm thinh;lặng thinh
hush-hush	rất kín đáo;bí mật;rất bí mật
hush money	tiền đấm đồm;tiền đút lót;tiền bưng bít
I am a Dutchman if I do!	tôi mà làm thì xin cứ chặt đầu tôi đi
I am a worm today	hôm nay tôi không được khỏe
I'm afriad	tôi xin lỗi;tôi e;rất lấy làm tiếc;rất tiếc
I'm sorry but	tôi lấy làm tiếc;tôi xin lỗi nhưng
I ask you!	anh có bao giờ nghe thấy điều đó kỳ quặc thế không!
I beg to differ	tôi e tôi phải không đồng ý
I beg your pardon	tôi phải phản ứng;tôi quyết không tán thành;tôi phản đối
I can't bear the sight of it	tôi không thể nhìn cái đó được nữa;tôi không thể chịu đựng nổi khi nhìn cái đó được nữa
I dare say	tôi dám chắc;tôi chắc rằng
I don't care a damn	cóc cần;đéo cần;đếch cần
I don't care a pin	cóc cần;đéo cần;đếch cần
I don't care a whit	cóc cần;đéo cần;đếch cần
I don't care a cent	cóc cần;đéo cần;đếch cần
I don't care a fig	cóc cần;đéo cần;đếch cần
I don't care a straw	cóc cần;đéo cần;đếch cần
the great I am	tỏ ra mình hơn ai;lên mặt dạy đời;lên mặt dạy khôn
I mean to say	tối muốn nói;tôi muốn đính chính;tôi muốn diễn đạt
I must say	phải nói là
I'll be bound	tôi hoàn toàn tin chắc vấn đề đó là đúng
I'll tell you what	tôi sẽ chỉ rõ phải làm thế nào
I want to mean	tôi muốn nói rằng
I would not take it at a gift	cho không tôi cũng không lấy
I would not have it at a gift	cho không tôi cũng không lấy
ice over	đóng băng;bị phủ băng
ice up	đóng băng;bị phủ băng
skating on thin ice	nói chuyện hoặc làm cái gì có thể bất bình cho người khác
break the ice	làm tan băng;bắt đầu làm quen với nhau;làm tan không khí e ngại
cut no ice with	không ăn thua gì;chẳng có ảnh hưởng gì đối với
on ice	được ướp lạnh bằng đá;để dành;dành dụm;nhất định thành công;tuyệt đối chắc chắn
on thin ice	trong tình huống nguy hiểm
iceberg	núi băng trôi;tẳng băng trôi;người không xúc cảm;người không cảm xúc;người vô tâm;người hững hờ
buck one's ideas up	trở nên tỉnh táo hơn;cps tái độ đúng đắn và có trách nhiệm hơn
get the idea	hiểu;nắm rõ
get the idea that	có cảm tưởng rằng
give an idea of	cho một ý niệm về
give ideas	làm cho mơ mộng viển vông
have no idea	không biết;không đủ trình độ;không biết một chút
man of ideas	người lắm mưu nhiều kế;người có tài xoay sở;người mưu mô xảo quyệt
identify as	nhận ra;nhật biết là
identify oneself with	gắn bó chặt chẽ với;gắn liền tên tuổi với;gắn liền vận mệnh với
identify with	đồng nhất với;đồng cảm với
identify with	xem như là
idle away	ăn không ngồi rồi;nghỉ ngơi;lãng phí thời gian
idle about	ăn không ngồi rồi;nghỉ ngơi;lãng phí thời gian
idle compliment	lời khen hời hợt;lời khen rỗng tuếch;lời khen không thành thật
empty compliment	lời khen hời hợt;lời khen rỗng tuếch;lời khen không thành thật
hollow compliment	lời khen hời hợt;lời khen rỗng tuếch;lời khen không thành thật
bone idle	chây lười;lười biếng;nhác
idle folks lack no excuses	người lười không thiếu gì lý do để lười;người lười thường hay
idleness is the mother of all evils	lười biếng là mẹ đẻ của mọi thói hư thật xấu;nhàn cư vi bất thiện
idleness makes the wit rust	sự lười biếng làm trí thông minh kém đi
keep a motor at an idle	chao máy chạy không tải
the devil makes works for idle hands	nhàn cư vi bất thiện
